id,eevp,eevp_source,trump2016,votes2012,votes2016,expected_votes,state,timestamp,weird_timestamps,hour_seconds,mail_in,time_cat,votes,vote_share_rep,vote_share_dem,absolute_diff_in_percent_vote_share,cum_num_Trump,cum_num_Biden,new_Trump_votes_added,new_Biden_votes_added,d1_NEW_votes,r_NEW_votes_added,rabs_NEW,diff_cat,outlier_new,d1_num,r_num,rabs_num,outlier_num
4320,95,edison,1323232,2936561,2945233,3415000,minnesota,2020-11-05T00:10:49Z,normal,00:10:49Z,overnight,5-Nov,3232130,0.454,0.525,0.071,1467387.02,1696868.25,223.368,258.3,4.08E-08,0.011397555,0.011397555,low,normal,1.22E-07,-0.019742639,0.019742639,normal
1951,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:11:04Z,normal,00:11:04Z,overnight,4-Nov,248602,0.647,0.331,0.316,160845.494,82287.262,4065.626,975.964,4.61E-08,-0.043320392,0.043320392,high,normal,8.65E-07,-0.152740008,0.152740008,normal
871,15,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:11:09Z,normal,00:11:09Z,overnight,4-Nov,1790869,0.533,0.458,0.075,954533.177,820218.002,92813.409,76741.736,0.000800632,-2.134692729,2.134692729,low,outlier,1.88E-06,-0.276287352,0.276287352,normal
872,15,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:11:13Z,normal,00:11:13Z,overnight,4-Nov,1792571,0.533,0.458,0.075,955440.343,820997.518,907.166,779.516,4.39E-07,0.131065175,0.131065175,low,normal,1.88E-06,-0.276532862,0.276532862,normal
2607,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:11:22Z,normal,00:11:22Z,overnight,4-Nov,336176,0.527,0.458,0.069,177164.752,153968.608,731.728,344.416,3.93E-07,0.123785701,0.123785701,low,normal,1.46E-07,-0.063075185,0.063075185,normal
7501,0,edison,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:11:27Z,normal,00:11:27Z,overnight,4-Nov,2681,0.477,0.518,0.041,1278.837,1388.758,26.82,305.869,6.88E-07,0.162917245,0.162917245,low,normal,1.32E-08,-0.01782722,0.01782722,normal
1952,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:11:35Z,normal,00:11:35Z,overnight,4-Nov,256538,0.649,0.328,0.321,166493.162,84144.464,5647.668,1857.202,2.39E-07,-0.099357809,0.099357809,high,normal,9.35E-07,-0.159156685,0.159156685,normal
873,15,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:11:36Z,normal,00:11:36Z,overnight,4-Nov,1792783,0.533,0.458,0.075,955553.339,821094.614,112.996,97.096,5.79E-07,0.149594786,0.149594786,low,normal,1.88E-06,-0.276563443,0.276563443,normal
874,20,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:11:47Z,normal,00:11:47Z,overnight,4-Nov,2394114,0.509,0.482,0.027,1218604.026,1153962.948,263050.687,332868.334,0.004270265,-1.719640505,1.719640505,low,outlier,7.18E-07,-0.173442637,0.173442637,normal
7368,96,edison,4685047,7993851,8969226,11660000,texas,2020-11-05T00:11:58Z,normal,00:11:58Z,overnight,5-Nov,11235403,0.522,0.463,0.059,5864880.366,5201991.589,770.994,683.851,3.20E-09,-0.003192687,0.003192687,low,normal,0.001493068,-1.658825997,1.658825997,outlier
6506,94,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-06T00:12:10Z,normal,00:12:10Z,overnight,6-Nov,6547337,0.499,0.489,0.01,3267121.163,3201647.793,59.381,58.191,2.25E-08,0.008760392,0.008760392,low,normal,2.12E-05,-0.256730802,0.256730802,normal
7502,0,edison,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:12:14Z,normal,00:12:14Z,overnight,4-Nov,3259,0.515,0.478,0.037,1678.385,1557.802,399.548,169.044,4.76E-07,0.135938335,0.135938335,low,normal,1.37E-08,-0.018219739,0.018219739,normal
