,eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,hour_seconds,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden,id,diff,d1_NEW,r_NEW,rabs_NEW,diff_cat,outlier,weird,
7763,93,edison,0,1221747,3125516,3316996,4100000,washington,2020-11-07T00:25:40Z,00:25:40Z,7-Nov,0.383,0.592,3795471,1453665.393,2246918.832,2357.365,-145.556,7763,0.209,3.39E-05,-0.126700267,0.126700267,high,normal,normal,
902,48,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:25:42Z,00:25:42Z,4-Nov,0.502,0.489,5600690,2811546.38,2738737.41,109137.529,74238.102,902,0.013,0.002436058,-3.177821233,3.177821233,low,outlier,normal,
634,92,edison,0,1202484,2569520,2780247,3325000,colorado,2020-11-05T00:25:44Z,00:25:44Z,5-Nov,0.42,0.555,3001489,1260625.38,1665826.395,6338.817,15292.533,634,0.135,2.12E-05,0.260060699,0.260060699,low,normal,normal,
6617,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:25:48Z,00:25:48Z,4-Nov,0.704,0.296,5139,3617.856,1521.144,1220.16,350.84,6617,0.408,2.34E-07,0.095860099,0.095860099,high,normal,normal,
2620,17,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:25:49Z,00:25:49Z,4-Nov,0.569,0.416,402209,228856.921,167318.944,305.553,223.392,2620,0.153,5.31E-07,0.14353556,0.14353556,low,normal,normal,
4321,95,edison,0,1323232,2936561,2945233,3415000,minnesota,2020-11-05T00:25:51Z,00:25:51Z,5-Nov,0.454,0.525,3232386,1467503.244,1697002.65,116.224,134.4,4321,0.071,5.01E-08,0.012625312,0.012625312,low,normal,normal,
1139,4,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:25:55Z,00:25:55Z,4-Nov,0.442,0.547,200351,88555.142,109591.997,11938.157,12015.423,1139,0.105,7.53E-08,-0.056030465,0.056030465,low,normal,normal,
903,48,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:26:00Z,00:26:00Z,4-Nov,0.502,0.489,5608333,2815383.166,2742474.837,3836.786,3737.427,903,0.013,1.59E-07,0.080330734,0.080330734,low,normal,normal,
6618,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:26:01Z,00:26:01Z,4-Nov,0.676,0.324,5955,4025.58,1929.42,407.724,408.276,6618,0.352,5.42E-07,0.145034904,0.145034904,high,normal,normal,
7510,2,edison,0,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:26:06Z,00:26:06Z,4-Nov,0.654,0.329,101496,66378.384,33392.184,952.14,177.327,7510,0.325,2.78E-07,0.104385031,0.104385031,high,normal,normal,
2621,17,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:26:11Z,00:26:11Z,4-Nov,0.569,0.416,402216,228860.904,167321.856,3.983,2.912,2621,0.153,6.00E-07,0.152117867,0.152117867,low,normal,normal,
904,50,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:26:14Z,00:26:14Z,4-Nov,0.502,0.489,5872900,2948195.8,2871848.1,132812.634,129373.263,904,0.013,0.001954196,-2.338956844,2.338956844,low,outlier,normal,
905,51,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:26:48Z,00:26:48Z,4-Nov,0.503,0.488,5946317,2990997.451,2901802.696,42801.651,29954.596,905,0.015,6.01E-05,-1.119431666,1.119431666,low,normal,normal,
5684,98,edison,0,2362631,4505372,4741564,5600000,north-carolina,2020-11-07T00:26:52Z,00:26:52Z,7-Nov,0.5,0.486,5462930,2731465,2654983.98,150.5,146.286,5684,0.014,3.66E-07,0.013174448,0.013174448,low,normal,normal,
6619,0,edison,0,1155389,1964118,2103027,2525000,south-carolina,2020-11-04T00:27:06Z,00:27:06Z,4-Nov,0.704,0.296,7190,5061.76,2128.24,1036.18,198.82,6619,0.408,2.57E-07,0.100395556,0.100395556,high,normal,normal,
4954,1,edison,0,345790,710972,744296,805000,new-hampshire,2020-11-04T00:27:18Z,00:27:18Z,4-Nov,0.315,0.685,9583,3018.645,6564.355,916.821,1368.179,4954,0.37,6.06E-07,0.154052237,0.154052237,high,normal,normal,
906,51,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:27:19Z,00:27:19Z,4-Nov,0.503,0.488,5948096,2991892.288,2902670.848,894.837,868.152,906,0.015,4.68E-07,0.135321643,0.135321643,low,normal,normal,
907,52,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:27:29Z,00:27:29Z,4-Nov,0.505,0.486,6105904,3083481.52,2967469.344,91589.232,64798.496,907,0.019,0.001106518,-2.54188895,2.54188895,low,outlier,normal,
250,94,edison,0,1252401,2306559,2604657,3400000,arizona,2020-11-07T00:27:35Z,00:27:35Z,7-Nov,0.487,0.498,3155443,1536700.741,1571410.614,4601.779,-1670.419,250,0.011,0.000213862,-0.318378397,0.318378397,low,normal,normal,
2622,17,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:27:41Z,00:27:41Z,4-Nov,0.57,0.415,403196,229821.72,167326.34,960.816,4.484,2622,0.155,2.40E-07,0.0969714,0.0969714,high,normal,normal,
1449,95,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-05T00:27:48Z,00:27:48Z,5-Nov,0.499,0.489,4857496,2423890.504,2375315.544,529.938,519.318,1449,0.01,5.39E-09,0.004141898,0.004141898,low,normal,normal,
908,52,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:28:01Z,00:28:01Z,4-Nov,0.505,0.486,6106065,3083562.825,2967547.59,81.305,78.246,908,0.019,5.88E-07,0.150669437,0.150669437,low,normal,normal,
1140,4,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-04T00:28:08Z,00:28:08Z,4-Nov,0.456,0.533,213213,97225.128,113642.529,8669.986,4050.532,1140,0.077,8.27E-07,-0.186020332,0.186020332,low,normal,normal,
909,58,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:28:26Z,00:28:26Z,4-Nov,0.495,0.496,6728426,3330570.87,3337299.296,247008.045,369751.706,909,0.001,0.000605806,0.691037846,0.691037846,low,outlier,normal,
